ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
230;Kökünü kazmak;Bir daha üreyemez duruma getirmek, hiçbir kalıntısını bırakmamak, yok etmek.;2;genel;;"Tadı damağında kalmak
Hoşa giden, zevk alınan bir şeyi
unutamamak.
384-Tadı tuzu kalmamak";Yere çalmak;Para parayı çeker
231;Kraldan çok kralcı olmak;Birinin davasını ondan daha çok savunur olmak.;2;genel;;Gelene git denilmez;Külahları değişmek;"Baskıdaki altından askıdaki
salkım yeğdir"
232;"Kulağı ters taraftan
göstermek";Kolay yolu varken bir işi daha zor ve uzun yollar kullanarak yapmak.;2;genel;;Asıl azmaz, bal kokmaz;İki at bir kazığa bağlanmaz;"Dervişin fikri ne ise zikri
de odur"
233;Kulağına girmemek;Söylenilen sözlere önem vermemek, söylenenleri anlamamak, benimsememek.;2;genel;;Arı bal alacak çiçeği bilir;Rayına girmek;Su gibi ezberlemek
234;Kulağına kar suyu kaçmak;Bir duyum almak.;2;genel;;"Bir kızı bin kişi ister, bir kişi
alır";Üstüne toz kondurmamak;Kuş uçurmamak
235;Kulak kesilmek;Büyük bir dikkatle dinlemek.;2;genel;;Ters düşmek;Etliye sütlüye karışmamak;Turnayı gözünden vurmak
236;Kulp takmak;Bir kimseyi, bir şeyi kusurlu göstermek için bahane, kusur bulmak.;2;genel;;"Aş taşınca kepçeye paha
olmaz";Bam teline basmak;Parasını sokağa atmak
237;Kuş gibi çırpınmak;Çaresizlik içinde telaşlı davranmak.;2;genel;;El kazanıyla aş kaynamaz;Ömrüne ömür katmak;Dünyayı tozpembe görmek
238;Kuş uçurmamak;Hiçbir şeyin veya kimsenin kaçmasına, geçmesine imkân vermemek.;2;genel;;Tepesinde havan dövmek;"Tembele iş buyur, sana
akıl öğretsin";Yılanın kuyruğuna basmak
239;Külahını ters giydirmek;Çok kurnaz olmak. - 83;2;genel;;Silip süpürmek;Gemi azıya almak;"Baca eğri de olsa dumanı
doğru çıkar"
240;Külahları değişmek;Tehdit ederek bozuşmak.;2;genel;;İğne ile kuyu kazmak;Silip süpürmek;Gözü açılmak
241;Küpünü doldurmak;Eline fırsat geçmişken çokça para biriktirmek.;2;genel;;"Mal sahibi mülk sahibi, hani
bunun ilk sahibi";Soyup soğana çevirmek;"Notunu vermek
Bir kimse için kötü bir kanıya
varmak
274-Ocağı batmak
Yuvası yıkılmak veya soyu
tükenmek
275-Ocağına düşmek
Birine koruması için sığınmak
veya yardım etmesi için yalvarmak
276-Ocağına incir dikmek
Birinin evini barkını dağıtmak
277-Ok yaydan çıkmak
Geri dönülemeyecek bir iş yapmak
278-Olmayacak duaya amin
demek
Gerçekleşmeyecek, sonuç
vermeyecek işlerle uğraşmak
279-On paraya on takla atmak"
242;Kürek kadar dili olmak;Kabaca ve terbiyesizce karşılık vermek.;2;genel;;Balık baştan avlanır;Parmağı ağzında kalmak;"Kar ne kadar çok yağsa
yaza kalmaz"
243;Laf altında kalmamak;Kendisini inciten, itham eden veya rahatsız bir duruma düşüren söze gereken karşılığı verip durumu düzeltmek.;2;genel;;Saati saatine uymamak;"Karga kekliği taklit edeyim
derken kendi yürüyüşünü
şaşırmış";Tepesinde havan dövmek
244;Laf işitmek;Azarlanmak, birisi kendisine darılmak;2;genel;;Tefe koymak;Sıfırı tüketmek;"Sarımsak yemedim ki ağzım
koksun"
245;Lafa karışmak;Biri veya birileri konuşurken bir başkası konuşmak, konuşmaya katılmak.;2;genel;;Açık kapı bırakmak;Yakasını bırakmamak;"Baca eğri de olsa dumanı
doğru çıkar"
246;Lafa tutmak;Yersiz, zamansız ve sürekli konuşarak meşgul etmek, oyalamak.;2;genel;;İçine kurt düşmek;Kemer sıkmak;Kapağı atmak
247;Lokmasını saymak;Sofrada yemek yiyen bir kimsenin ne kadar yediğine dikkat etmek.;2;genel;;"Sarımsak yemedim ki ağzım
koksun";Çetele tutmak;Arpa eken buğday biçmez
248;Lügat paralamak;Konuşma dilinde geçmeyen yabancı kelimeler kullanmak, ağdalı konuşmak.;2;genel;;Parmağı ağzında kalmak;"Şeytanın dostluğu
darağacına kadardır";Üstüne toz kondurmamak
249;Mahalleyi ayağa kaldırmak;Bağırıp çağırarak konu komşuyu tedirgin etmek. - 84;2;genel;;"Dilsizin dilinden anası
anlar";Heyheyleri tutmak;Sineye çekmek
250;Mantar gibi yerden bitmek;Birdenbire veya kendiliğinden ortaya çıkmak.;2;genel;;"Arlı arından, huylu huyundan
vazgeçmez";Selam verdik, borçlu çıktık;Oyunun kurallarını bilmek
251;Masal okumak;İnandırıcı olmayan, oyalayıcı sözlerle kandırmaya çalışmak.;2;genel;;Burnundan kıl aldırmamak;İçine kapanmak;Paniğe kapılmak
252;Masrafa girmek;Bir iş veya yapım için çok para harcamak.;2;genel;;Ava giden avlanır;Zorla güzellik olmaz;"Borcun iyisi vermek,
derdin iyisi ölmek"
253;Mekik dokumak;İki nokta veya durum arasında sürekli gidip gelmek.;2;genel;;Külahını ters giydirmek;Put kesilmek;Saçını başını yolmak
254;Meteliğe kurşun atmak;Parası kalmamak, hiç parası olmamak.;2;genel;;Kapıyı göstermek;"Ağaca çıkan keçinin dala
bakan oğlağı olur";"Parmağını bile
kıpırdatmamak"
255;Metelik vermemek;Değer ve önem vermemek, umursamamak, aldırış etmemek.;2;genel;;"Satılık ziftin olsun,
Selanik’ten kel gelir";Yüreği hop etmek;"Dağ dağ üstüne olur, ev ev
üstüne olmaz"
256;Meydan okumak;Korkmadığını, çekinmediğini açıkça bildirmek, kavga veya yarışmaya çağırmak.;2;genel;;Nefes tüketmek;Her ağaçtan kaşık olmaz;Kâğıt üzerinde kalmak
257;Meydana çıkarmak;Açıklığa kavuşturmak, ortaya çıkarmak, belli etmek.;2;genel;;Kâğıt üzerinde kalmak;Aklına geleni yapmak;Laf altında kalmamak
258;Meydana getirmek;Olmasını sağlamak, oluşturmak.;2;genel;;"Burnunu sıksan canı
çıkacak";Saçını süpürge etmek;Yabancılık çekmek
259;Meydanı boş bulmak;Kendisini engelleyecek kimse görmeyerek aşırı davranışlarda bulunmak.;2;genel;;"İğne deliğinden Hindistan’ı
seyretmek";Ağaçtan maşa olmaz;Kafasına dank etmek
260;Mum tutturmak;Aşırı disiplin altına almak.;2;genel;;"Komşu komşunun külüne
muhtaçtır";Az tamah çok ziyan getirir;"Sütten ağzı yanan ayranı
üfleyerek içer"
261;Mumla aramak;Çok isteyerek ve özlemle aramak. - 85;2;genel;;"Hak deyince akan sular
durur";Ayakları geri geri gitmek;Yüzüne hasret kalmak
262;Muradına ermek;İsteğine kavuşmak, dileği gerçekleşmek, arzusu yerine gelmek;2;genel;;"Avcı ne kadar hile al bilse ayı
o kadar yol bilir";Icığını cıcığını çıkarmak;Acele yürüyen yolda kalır
263;Mürekkep yalamak;Çok okumuş, yazmış olmak;2;genel;;Sabrı taşmak;"Kulağı ters taraftan
göstermek";Faka basmak
264;Nabzına göre şerbet vermek;Birinin hoşuna gidecek, gururunu okşayacak yolda davranmak.;2;genel;;"Her gün baklava börek
yense bıkılır";"Dervişin fikri ne ise zikri
de odur";"Altın yerde paslanmaz, taş
yağmurdan ıslanmaz"
265;Nabzını tutmak;Düşüncesini, niyetini, eğilimini anlamaya çalışmak.;2;genel;;İpin ucunu kaçırmak;"İki testi tokuşunca biri
elbet kırılır";"Ne dağda bağım var ne
çakaldan davam"
266;Nabzını yoklamak;Niyetini, düşüncesini, eğilimini anlamaya çalışmak.;2;genel;;Kuş gibi çırpınmak;Kapıyı göstermek;"Bacak kadar boyu var,
türlü türlü huyu var"
267;"Nalıncı keseri gibi kendine
yontmak";Yaptığı işlerde hep kendi çıkarını düşünmek.;2;genel;;Yük altına girmek;Yüreği ağzına gelmek;Yerinde yeller esmek
268;Nefes aldırmamak;Dinlenmesine fırsat vermemek, aralık vermemek.;2;genel;;İçine sinmek;"Altı olur, yedi olur, hep Allah'ın
dediği olur";İçinden geçirmek
269;Nefes tüketmek;Uzun uzun ve boş konuşmak.;2;genel;;"Ağlamayan çocuğa meme
vermezler";"Gözünü daldan budaktan
sakınmamak";Dilini tutamamak
270;Nefesini tutup beklemek;Heyecan, merak veya endişeyle sonucu izlemek.;2;genel;;"Çam ağacından ağıl olmaz,
el çocuğundan oğul olmaz";Asıp kesmek;Akla karayı seçmek
271;Ne oldum delisi olmak;Ummadığı bir duruma beklemediği bir anda ulaşan kimse çok şımarmak.;2;genel;;"Burnunu sıksan canı
çıkacak";Parmak ısırmak;"Bakarsan bağ olur,
bakmazsan dağ olur"
272;Not tutmak;Biri söz söylerken başkası onun söylediklerini yazmak. - 86;2;genel;;Patırtıya pabuç bırakmamak;Tepesinde havan dövmek;"Mal adama hem dost hem
düşmandır"
273;"Notunu vermek
Bir kimse için kötü bir kanıya
varmak
274-Ocağı batmak
Yuvası yıkılmak veya soyu
tükenmek
275-Ocağına düşmek
Birine koruması için sığınmak
veya yardım etmesi için yalvarmak
276-Ocağına incir dikmek
Birinin evini barkını dağıtmak
277-Ok yaydan çıkmak
Geri dönülemeyecek bir iş yapmak
278-Olmayacak duaya amin
demek
Gerçekleşmeyecek, sonuç
vermeyecek işlerle uğraşmak
279-On paraya on takla atmak";Az miktar para kazanmak için onursuzca bir sürü şey yapmak.;2;genel;;İçi cız etmek;Çivi çıkar ama yeri kalır;Bam teline basmak
280;"On parmağında on marifet
olmak";Elinden her iş gelmek, çok becerikli olmak.;2;genel;;"Acıkmış kudurmuştan
beterdir";Put kesilmek;"Keçiye can kaygısı, kasaba
yağ kaygısı"
281;O tarakta bezi olmamak;O şeyle ilgisi olmamak.;2;genel;;Çıngıraklı deve kaybolmaz;"Kar ne kadar çok yağsa
yaza kalmaz";Foyası meydana çıkmak
282;Oyuna gelmek;Aldatılmak.;2;genel;;"Mal canı kazanmaz, can
malı kazanır";Kancayı takmak;"Alma mazlumun ahını, çıkar
aheste aheste"
283;Oyunun kurallarını bilmek;Yapılan işlerin nasıl, kimler tarafından ve hangi ilişkilerle sonuçlandırıldığına ilişkin bilgisi olmak. - 87;2;genel;;Kemer sıkmak;"Tilkinin dönüp dolaşıp
geleceği yer kürkçü dükkânıdır";Gam yememek
284;Ölçüyü kaçırmak;Yiyip içmekte veya davranışlarda aşırı gitmek.;2;genel;;İğne ipliğe dönmek;"Mal adama hem dost hem
düşmandır";İşi aksi gitmek
285;Ölümü göze almak;Elde etmek istediği sonuç uğruna ölüm de dâhil her türlü tehlikeye açık olmak.;2;genel;;Papaz her gün pilav yemez;İki ateş arasında kalmak;İzinden yürümek
286;Ömür çürütmek;Uzun zaman emek vermiş olmak veya boşuna vakit geçirmiş olmak.;2;genel;;Kafa patlatmak;Pabucu dama atılmak;"Suya götürüp susuz
getirmek"
287;Ömrü vefa etmemek;Bir sonuca ulaşmadan ölmek.;2;genel;;Tereciye tere satmak;"Beş parmağın hangisini
kessen acımaz?
İnsan evlatlarını birbirinden ayırt
etmez, hangisine zarar gelse aynı
üzüntüyü duyar.
 
  17
122-Bezi herkesin arşınına
göre vermezler";Pabucu dama atılmak
288;Ömrüne ömür katmak;Sevinmesine, mutlu olmasına sebep olmak.;2;genel;;Zokayı yutmak;Sucuk gibi ıslanmak;Sağ gösterip sol vurmak
289;Öpüp başına koymak;Bir nimeti veya kutsal sayılan bir varlığı saygıyla el üstünde tutmak, yüksekte tutmak.;2;genel;;Pahalıya mal olmak;Hamama giren terler;İpe un sermek
290;Pabucunu ters giydirmek;Güç bir duruma sokarak telaş içinde kaçırmak.;2;genel;;"Bin bilsen de bir bilene
danış";El ayak çekilmek;"Ağustosun yarısı yaz, yarısı
kıştır"
291;Pabucu dama atılmak;Kendinden üstün birinin çıkmasıyla gözden düşmek.;2;genel;;"Alışmış kudurmuştan
beterdir";"Bir adama kırk gün ne dersen
o olur";Kalaylı bakır küflenmez
292;Paçaları sıvamak;Bir işi yapmak için hazırlanmak.;2;genel;;"Kimse bilmez kim kazana
kim yiye";İçi dayanmamak;"Kısmetsiz köpek, sabaha
karşı uyuyakalır"
293;Paçayı kurtarmak;Kendini bir dertten, tehlikeden veya zor durumdan kurtarmak.;2;genel;;"Ak koyun ara koyun geçit
başında belli olur";Yelkenleri suya indirmek;İki ölç bir biç
294;Paha biçmek;Değerini tahmin etmek veya belirlemek.;2;genel;;Topa tutmak;Balık baştan kokar;"Vakitsiz öten horozun başını
keserler
Her söz yerinde ve zamanında
söylenmelidir. Zamansız ve yersiz
söylenen sözler büyük
zararlara yol açabilir.
485-Vermeyince mabut, neylesin
Sultan Mahmut"
295;Pahalıya mal olmak;Çok para, özveri, emek gerektirmek. - 88;2;genel;;Aşık atmak;"Körler memleketinde şaşılar
padişah olur";"Nalıncı keseri gibi kendine
yontmak"
296;Paniğe kapılmak;Çok korkmak.;2;genel;;"Hangi rüzgâr attı?
Bir yere uzun süre uğramamışken
beklenmedik bir zamanda gelenlere
sitem yollu söylenen bir söz.
269-Hastaya bakmaktan hasta
olması yeğdir";"Kulağı ters taraftan
göstermek";Jetonu geç düşmek
297;Palavra atmak;Abartarak konuşmak, büyük başarılardan söz etmek.;2;genel;;Kemer sıkmak;"Herkes aklını pazara
çıkarmış, yine kendi aklını
almış";Hallaç pamuğu gibi atmak
298;Para saçmak;Gereğinden çok para harcamak.;2;genel;;Ölümü göze almak;Benzine kan gelmek;"Yavaş atın tekmesi yavuz
olur"
299;Parasını sokağa atmak;Değeri olmayan bir mala para vermek.;2;genel;;Topa tutmak;"Ak gün ağartır, kara gün
karartır";Yanına kâr kalmak
300;Parasıyla rezil olmak;Para vererek yaptırdığı bir şey iyi çıkmamak, parasının karşılığını alamamak.;2;genel;;Heyheyleri tutmak;"Destursuz bağa gireni
sopa ile kovarlar";"Dost ağlatır, düşman
güldürür"
301;Paraya kıymak;Gereken yerde para harcamaktan kaçınmamak.;2;genel;;"Ağlar gözden, sahte sözden
kendini sakın";Yakasına yapışmak;Yan çizmek
302;Paraya para dememek;Çok para kazanır olmak.;2;genel;;"Dağ dağ üstüne olur, ev ev
üstüne olmaz";Nefesini tutup beklemek;Sakınılan göze çöp batar
303;Parmağı ağzında kalmak;Çok şaşırmak hayrete düşmek.;2;genel;;İçini kemirmek;"Hangi dağda kurt öldü?
Nasıl oldu da böyle umulmadık
güzel bir davranışta bulundun?
105-Hâli kalmamak";Kan beynine sıçramak
304;Parmağında oynatmak;Birine her istediğini yaptırmak, onu kukla gibi kullanmak.;2;genel;;Saati saatine uymamak;İpi koparmak;Kaşık çalmak
305;"Parmağını bile
kıpırdatmamak";Bir iş için hiçbir davranışta bulunmamak.;2;genel;;Karnı zil çalmak;Yüzünü güldürmek;Iskartaya çıkarmak
306;Parmak kaldırmak;Bir toplulukta söz istemek için işaret parmağını açık bırakarak kapalı eli yukarı kaldırmak.;2;genel;;"Zurnada peşrev olmaz, ne
çıkarsa bahtına";"Kız kundakta, çeyiz
sandıkta";"Allah verirse el getirir, sel
getirir, yel getirir"
307;Parmak ısırmak;Büyük şaşkınlık duymak. - 89;2;genel;;"Dağ dağ üstüne olur, ev ev
üstüne olmaz";Gafil avlamak;İç çekmek
308;Parmakla gösterilmek;Seçkin ünlü olmak.;2;genel;;Yuları ele kaptırmak;"Dağ ne kadar yüce olsa yol
üstünden aşar";"Kulağı ters taraftan
göstermek"
309;Papara yemek;Azar işitmek.;2;genel;;Yaraya merhem olmak;"Adamın yere bakanından,
suyun yavaş akanından kork";Kraldan çok kralcı olmak
310;Patırtıya pabuç bırakmamak;Önemli bir tehlike yaratmayacağını bildiği kışkırtmalara, yıldırmalara aldırmayıp bildiğini yapmak.;2;genel;;"Baca eğri de olsa dumanı
doğru çıkar";Zil takıp oynamak;"Kaş yapayım derken göz
çıkarmak"
311;Parsayı başkası toplamak;Bir emeğin karşılığını o emeği çeken değil, başka biri almak.;2;genel;;Yerle bir etmek;"Nefesine güvenen
borazancıbaşı olur";Saman altından su yürütmek
312;Pılı pırtıyı toplamak;Gitmek üzere bütün eşyalarını toplamak.;2;genel;;"Ağlama ölü için, ağla deli
için";Doğru söz acıdır;İçi dışına çıkmak
313;Pire için yorgan yakmak;Önemsiz bir durum karşısında kızarak kendisine daha büyük zarar verecek davranışta bulunmak.;2;genel;;Nerede hareket, orda bereket;Yangına körükle gitmek;"Üşüntü köpekler mandayı
paralar"
314;Pireyi deve yapmak;Önemsiz bir olayı büyütmek.;2;genel;;Yuları birinin elinde olmak;"Kırkından sonra saza
başlayan kıyamette çalar";Dünyayı tozpembe görmek
315;Post elden gitmek;Bulunduğu yüksek makamdan ayrılmak zorunda kalmak.;2;genel;;İştah dişin dibindedir;"Her kaşığın kısmeti bir
olmaz";Selam verdik, borçlu çıktık
316;Posta koymak;Birini korkutmak, gözdağı vermek.;2;genel;;Laf torbaya girmez;Çetele tutmak;"Tilki tilkiliğini anlatıncaya
kadar post elden gider"
317;Postu kurtarmak;Öldürülme tehlikesini atlatmak.;2;genel;;Meydanı boş bulmak;Elden düşürmemek;Yüzüne kan gelmek
318;Pot kırmak;Yersiz ve karşısındakine dokunacak söz söylemek, gaf yapmak.;2;genel;;Zahmetsiz rahmet olmaz;Ne ekersen onu biçersin;At binenin, kılıç kuşananın
319;Punduna getirmek;Bir şeyi yapmak için uygun zamanı ve yeri seçmek. - 90;2;genel;;Ölümle öç alınmaz;Rafa kaldırmak;Ekmek istemez su istemez
320;Pusulayı şaşırmak;Güç bir duruma düşerek ne yapacağını bilememek.;2;genel;;"Aksak eşekle yüksek dağa
çıkılmaz";Mart ayı dert ayı;Yüzünü güldürmek
321;Put kesilmek;Sessiz ve hareketsiz bir durum almak.;2;genel;;İçinden geçirmek;İçine kurt düşmek;"Ağustosun yarısı yaz, yarısı
kıştır"
322;Rafa kaldırmak;Savsamak, artık üstünde durmamak, ihmal etmek.;2;genel;;At binenin, kılıç kuşananın;Tepeden tırnağa süzmek;Sıfırı tüketmek
323;Rahat yüzü görmemek;Hiç rahat etmemek.;2;genel;;Akıl yaşta değil baştadır;"At, adımına göre değil
adamına göre yürür";Malın iyisi boğazdan geçer
324;Rayına girmek;Bir iş, bir girişim düzene sokulmak, iyi bir duruma getirilmek.;2;genel;;Çoğu gitti, azı kaldı;Dut yemiş bülbüle dönmek;"Ucuz etin yahnisi yavan
olur"
325;Rengi atmak;Korku, heyecan vb. sebeplerle benzi sararmak.;2;genel;;Her kuşun eti yenmez;Gık dememek;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz"
326;Renk vermemek;Duygularını, düşüncelerini veya başka bir durumunu belli etmemek, bir şeyi bildiği hâlde bilmez gibi görünmek.;2;genel;;"Kardeş kardeşi atmış, yar
başına tutmuş";Tası tarağı toplamak;Uçan kuşa borcu olmak
327;Renkten renge girmek;Korkudan veya utançtan yüzünün rengi değişmek, sıkılmak.;2;genel;;"Karıncanın zevali gelince
kanatlanır";"Yanlış hesap Bağdat’tan
döner";Yıldızları barışmamak
328;Rüzgâr ekip fırtına biçmek;Yaptığı bir kötülüğün çok daha kötüsü ile karşılaşmak.;2;genel;;Para parayı çeker;Üstüne üstüne gitmek;Sermayeyi kediye yüklemek
329;Rüzgârdan nem kapmak;En küçük bir şeyden alınmak, çok alıngan olmak.;2;genel;;Kalıbının adamı olmamak;Renk vermemek;"Kabahat samur kürk olsa,
kimse sırtına almaz"
330;Saat gibi işlemek;Aksamadan, ara vermeden çalışmak. - 91;2;genel;;Gemi azıya almak;"Elmanın dibi göl, armudun
dibi yol";Post elden gitmek
331;Saati saatine uymamak;Durumu, huyu sık sık değişmek.;2;genel;;Kalıbını basmak;"İncir çekirdeğini
doldurmamak";Rüzgâr ekip fırtına biçmek
332;Sabrı taşmak;Artık katlanamaz, dayanamaz duruma gelmek, sabrı kalmamak.;2;genel;;Yangına körükle gitmek;"İki karpuzu bir koltuğa
sığdırmak";Sözü dağıtmak
333;Saçına ak düşmek;Saçı ağarmaya başlamak, yaşlanmak.;2;genel;;Kapıda kalmak;Al elmaya taş atan çok olur;Tereciye tere satmak
334;Saçını başını yolmak;Çok üzülmek, üzüntüsünden dövünmek.;2;genel;;Turşuya dönmek;Kulağına kar suyu kaçmak;İçini okumak
335;Saçını süpürge etmek;Kadın özveri ile çalışıp hizmet etmek.;2;genel;;Mumla aramak;Sineye çekmek;Paraya kıymak
336;Sağ gösterip sol vurmak;Şaşırtmak.;2;genel;;"Keçi kurttan kurtulsa
gergedan olur";"Kır atın yanında duran ya
huyundan ya suyundan";İçi dayanmamak
337;"Sağ gözünü sol gözünden
sakınmak";Çok kıskanç olmak.;2;genel;;Ölümle öç alınmaz;Akıl yaşta değil baştadır;Tası tarağı toplamak
338;Safra bastırmak;Açlığını yatıştıracak kadar az bir şey yemek.;2;genel;;"Yağmur yağarken küpünü
doldurmak";Bal tutan parmağını yalar;"Kardeş kardeşi atmış, yar
başına tutmuş"
339;Sakalı ele vermek;Başkasının sözünden çıkmayacak bir duruma düşmek.;2;genel;;Huyunu suyunu değiştirmek;Aklından çıkarmamak;Yakışık almamak
340;Sakalına kar yağmak;Sakalı aklaşmaya başlamak.;2;genel;;İşi aksi gitmek;"Aç aman bilmez, çocuk
zaman bilmez";"Baskıdaki altından askıdaki
salkım yeğdir"
341;Sallantıda bırakmak;Bir şeyi sonuca bağlamamak, savsaklamak.;2;genel;;"Dünyanın kaç bucak
olduğunu anlamak";"Bir koltuğa iki karpuz
sığmaz";İçini kemirmek
342;Sallantıda kalmak;Bir çözüme bağlanmamak. - 92;2;genel;;Ne şiş yansın ne kebap;"Tembele iş buyur, sana
akıl öğretsin";Kabir azabı çekmek
343;Saman altından su yürütmek;Belli etmeden iş çevirmek, ortalığı karıştırmak.;2;genel;;"Dostluk okkayla, alışveriş
dirhemle";"Malı ongun olanın adı angın
olur";Kapısını aşındırmak
344;Sarpa sarmak;Güçlükler ortaya çıkmak, çözülmesi çok güç bir duruma gelmek.;2;genel;;Yağıp gürlemek;Yan gelip yatmak;"İşine hor bakan boynuna
torba takar"
345;Sepet havası çalmak;İşinden çıkarmak, sepetlemek.;2;genel;;"Kargadan başka kuş
tanımamak";Yuları ele kaptırmak;"İnsanın alacası içinde,
hayvanın alacası dışınadır"
346;Sermayeyi kediye yüklemek;Parasını yiyip bitirmek.;2;genel;;İpe sapa gelmemek;Aralarından kara kedi geçmek;"Katrandan olmaz şeker, olsa
da cinsine çeker"
347;Sevinci kursağında kalmak;Bir engel sebebiyle hayal kırıklığına uğramak.;2;genel;;"Nefesine güvenen
borazancıbaşı olur";"Ağaca çıksa pabucu yerde
kalmaz";Ak akçe kara gün içindir
348;Sevinçten havalara uçmak;Çok sevinmek.;2;genel;;"Çalma elin kapısını, çalarlar
kapını";Takıp takıştırmak;"Astar bol olmayınca yüze
gülmez"
349;Seyirci kalmak;Bir olay karşısında hiçbir tepki göstermeyerek işe karışmamak.;2;genel;;"Baba malı tez tükenir, evlat
gerek kazana";"Az veren candan, çok veren
maldan";"Davetsiz gelen döşeksiz
oturur"
350;Sıfırdan başlamak;En baştan, hiçbir şeye sahip olmadan bir işe girişmek.;2;genel;;Uçan kuşa borcu olmak;Kemer sıkmak;Hak yerini bulur
351;Sıfırı tüketmek;Yoksul duruma gelmek, yoksullaşmak.;2;genel;;İp koptuğu yerden bağlanır;"Mart dokuzunda çıra yak,
bağ buda";"Ağustosta gölge kovan
zemheride karnın ovar"
352;Sırra kadem basmak;Bir kimse ortalıktan yok olmak, ortalıkta görünmemek.;2;genel;;Papara yemek;Herkes bildiğini okur;Bedava sirke baldan tatlıdır
353;Sırtından geçinmek;Geçimini bir kimseden sağlamak.;2;genel;;Ağacı kurt, insanı dert yer;Kan ter içinde kalmak;"Katranı kaynatsan olur mu
şeker?
Kişi, kendi özünü veya asıl
özelliklerini değiştirmiş gibi görünse
de asla değişmez.
343-Kavgada kılıç ödün vermez"
354;Sırtı yere gelmemek;Bir işte herhangi bir zorluk karşısında sarsılmamak, konumunu kaybetmemek, güçlü olmak.;2;genel;;Çivi çiviyi söker;Yüreğine ateş düşmek;"Alışmış kudurmuştan
beterdir"
355;Silip süpürmek;Ne var ne yoksa hepsini yemek. - 93;2;genel;;"Sarhoştum aydım, böyle
yaşamaktan caydım";"Kimi köprü bulamaz
geçmeye, kimi su bulamaz
içmeye";Yerin dibine geçmek
356;Sineye çekmek;Kötü bir davranış, söz veya olaya ister istemez katlanmak.;2;genel;;Açık kapı bırakmak;"Kar ne kadar çok yağsa
yaza kalmaz";"Şeytana pabucu ters
giydirmek"
357;Sinek avlamak;Müşterisi olmayıp boş oturmak.;2;genel;;"Kaçanı kovmazlar, yıkılanı
vurmazlar";Safra bastırmak;Volta atmak
358;Son kozunu oynamak;Elinde bulunan son imkânı kullanmak.;2;genel;;"Ak koyunun kara kuzusu da
olur";İçi cız etmek;"Tembele iş buyur, sana
akıl öğretsin"
359;Son noktayı koymak;Bir işte en son sözü söylemek.;2;genel;;Sucuk gibi ıslanmak;Nabzına göre şerbet vermek;"Elin ağzı torba değil ki
büzesin"
360;Soyup soğana çevirmek;Hiçbir şey bırakmamacasına soymak.;2;genel;;İbadet de gizli, kabahat de;"Akşamın hayrından sabahın
şerri iyidir";Saçını süpürge etmek
361;Söz vermek;Bir işi yapacağını kesinlikle bildirmek.;2;genel;;Safra bastırmak;Kelleyi vermek;"Keçi kurttan kurtulsa
gergedan olur"
362;Sözü ağzına tıkamak;Birinin rahatça konuşmasını engelleyip susturmak, söylemesine imkân tanımamak.;2;genel;;"Kar kuytuda, para pintide
eğleşir";Kancayı takmak;"Komşu kızı almak, kalaylı
kaptan su içmek gibidir"
363;Sözü ağzında gevelemek;Söylemek istediğini söyleyememek.;2;genel;;İçini ısıtmak;Rengi atmak;"Allah Halil İbrahim bereketi
versin"
364;Sözü dağıtmak;Konuşurken birçok konuya değinerek anlatmak isteği konudan uzaklaşmak.;2;genel;;"Bin bilsen de bir bilene
danış";Yerden yere vurmak;Ucu bucağı olmamak
365;Sucuk gibi ıslanmak;Baştan aşağı ıslanmak.;2;genel;;"Alçak yerde yatma sel alır,
yüksek yerde yatma yel alır";Mahkeme kadıya mülk değil;"Al malın iyisini, çekme
kaygısını"
366;Su gibi ezberlemek;Yanlışsız okuyabilecek kadar ezberlemek. - 94;2;genel;;Armut dalının dibine düşer;Palavra atmak;"Mal canı kazanmaz, can
malı kazanır"
367;"Sudan çıkmış balığa
dönmek";Herhangi bir sebeple ne yapacağını bilememek, çok şaşırmak.;2;genel;;"Kardeş kardeşi atmış, yar
başına tutmuş";Pireyi deve yapmak;"Astar bol olmayınca yüze
gülmez"
368;"Suratından düşen bin parça
olmak";Öfke veya küskünlükten ileri gelen can sıkıntısıyla suratı asık olmak.;2;genel;;Mum tutturmak;Bal tutan parmağını yalar;"Kaş yapayım derken göz
çıkarmak"
369;Suratını ekşitmek;Yüzüne memnun olmadığını belirten bir anlam vermek.;2;genel;;Sakalı ele vermek;Kepenek altında er yatar;Kalıptan kalıba girmek
370;"Suya götürüp susuz
getirmek";Herhangi bir işte akıl, zekâ, deneyim ve kurnazlıkla bir diğerini alt etmek.;2;genel;;Can boğazdan gelir;"Suyu görünce teyemmüm
bozulur";Zeval vermemek
371;Suya sabuna dokunmamak;Davranışlarını kimseyi incitmeyecek biçimde ayarlamak.;2;genel;;Etliye sütlüye karışmamak;Ömrüne ömür katmak;Eli boş dönmek
372;Suyunca gitmek;Bir kimseyi sinirlendirmeyecek biçimde davranmak.;2;genel;;Paçaları sıvamak;Parmağında oynatmak;"Kulağı ters taraftan
göstermek"
373;Sünger çekmek;Bir şeyi hiç olmamış saymak, silmek, silip atmak, unutmak.;2;genel;;El için ağlayan gözden olur;"Baht olmayınca başta, ne
kuruda biter ne yaşta";"Komşu ekmeği komşuya
borçtur"
